"estimate","stderr","dof","min90","max90","parm","x"
-0.0654052472018514,0.0235607453728596,165,-0.104162673340205,-0.0266478210634974,"_at#1",-5
-0.0483030870333857,0.019313386480024,165,-0.0800736077930252,-0.0165325662737462,"_at#2",-4
-0.0321751073850004,0.0154597396045674,165,-0.0576063790345137,-0.00674383573548709,"_at#3",-3
-0.0170213082566956,0.0121493308430467,165,-0.0370069574935074,0.00296434098011619,"_at#4",-2
-0.00284168964847117,0.00967715820820429,165,-0.0187606149009672,0.0130772356040249,"_at#5",-1
0.0103637484396728,0.00850201610773425,165,-0.00362206805755005,0.0243495649368956,"_at#6",0
0.0225950060077363,0.0088881400233337,165,0.00797401566935238,0.0372159963461203,"_at#7",1
0.0338520830557194,0.010468937159443,165,0.0166306814284357,0.0510734846830031,"_at#8",2
0.0441349795836221,0.0126576048074041,165,0.0233132196754424,0.0649567394918018,"_at#9",3
0.0534436955914443,0.0150766268464816,165,0.028642644428982,0.0782447467539066,"_at#10",4
0.0617782310791861,0.0175399360245118,165,0.0329250363188642,0.090631425839508,"_at#11",5
0.0691385860468474,0.0199588428892075,165,0.0363062894941011,0.101970882599594,"_at#12",6
0.0755247604944283,0.0222902245068877,165,0.038857341180598,0.112192179808259,"_at#13",7
0.0809367544219288,0.0245132939368914,165,0.0406123858957425,0.121261122948115,"_at#14",8
0.0853745678293488,0.026619143592845,165,0.0415860766191189,0.129163059039579,"_at#15",9
0.0888382007166884,0.028605797065566,165,0.0417816645438323,0.135894736889545,"_at#16",10
0.0913276530839476,0.0304757401160312,165,0.0411950605930763,0.141460245574819,"_at#17",11
0.0928429249311263,0.0322346348992224,165,0.0398169505219054,0.145868899340347,"_at#18",12
0.0933840162582246,0.0338906312769404,165,0.0376339278076576,0.149134104708792,"_at#19",13
0.0929509270652425,0.0354539927782393,165,0.0346291089450388,0.151272745185446,"_at#20",14
0.0915436573521799,0.0369368915126951,165,0.0307824708137964,0.152304843890563,"_at#21",15
0.0891622071190369,0.0383532908313342,165,0.0260710437014921,0.152253370536582,"_at#22",16
0.0858065763658134,0.0397188661254499,165,0.0204690415894482,0.151144111142179,"_at#23",17
0.0814767650925095,0.0410509302024501,165,0.0139479849094791,0.14900554527554,"_at#24",18
0.0761727732991252,0.0423683383703377,165,0.00647685667991964,0.145868689918331,"_at#25",19
0.0698946009856604,0.0436913539046698,165,-0.00197767618752136,0.141766878158842,"_at#26",20
0.0626422481521152,0.0450414593289485,165,-0.0114509524440051,0.136735448748235,"_at#27",21
0.0544157147984895,0.0464411043007072,165,-0.0219799017761738,0.130811331373153,"_at#28",22
0.0452150009247835,0.047913387564781,165,-0.0336025216192813,0.124032523468848,"_at#29",23
0.035040106530997,0.0494816784672271,165,-0.0463572545475916,0.116437467609585,"_at#30",24
0.02389103161713,0.0511691923001451,165,-0.0602822897166086,0.108064352950869,"_at#31",25
0.0117677761831826,0.0529985420400442,165,-0.0754148254726902,0.0989503778390553,"_at#32",26
-0.00132965977084522,0.0549912952539258,165,-0.0917903404635532,0.0891310209218627,"_at#33",27
-0.0154012762449534,0.0571675675499126,165,-0.10944192486456,0.0786393723746528,"_at#34",28
-0.0304470732391422,0.0595456820031136,165,-0.128399720134264,0.0675055736559797,"_at#35",29
-0.0464670507534113,0.0621419175451115,165,-0.14869050511512,0.0557564036082972,"_at#36",30
-0.0634612087877609,0.064970359506041,165,-0.170337450175198,0.0434150325996766,"_at#37",31
-0.0814295473421909,0.0680428542749445,165,-0.193360042624475,0.0305009479400928,"_at#38",32
-0.100372066416701,0.0713690595516925,165,-0.217774169379235,0.0170300365458328,"_at#39",33
-0.120288766011292,0.0749565736636406,165,-0.243592329687981,0.00301479766539656,"_at#40",34
-0.141179646125964,0.0788111228654259,165,-0.270823943239589,-0.011535349012338,"_at#41",35
